Article,FA,LA,Title,SelfCite,CitationKey,UsedXref
74,Amanda,Simone,Exteroceptive expectations modulate interoceptive processing: repetition-suppression effects for visual and heartbeat evoked potentials,N,marshall_exteroceptive_2017,N
75,Mario,Diego,Attending to the heart is associated with posterior alpha band increase and a reduction in sensitivity to concurrent visual stimuli,N,villenagonzalez_attending_2017,N
76,Adrian,Lucas,The inner world of overactive monitoring: neural markers of interoception in obsessive–compulsive disorder,N,yoris_inner_2017,N
77,Annika,Claus,Enhanced cortical processing of cardio-afferent signals in anorexia nervosa,N,lutz_enhanced_2019,N
78,Lampros,Sophie,Increased heartbeat-evoked potential during REM sleep in nightmare disorder,N,perogamvros_increased_2019,N
79,Vera,Martin,Altered interoception in patients with borderline personality disorder: a study using heartbeat-evoked potentials,N,flasbeck_altered_2020,N
80,Marius,Katja,Heart and brain: Cortical representation of cardiac signals is disturbed in borderline personality disorder but unaffected by oxytocin administration,N,schmitz_heart_2020,N
81,Esra,Arno,Heartbeat and somatosensory perception,N,al_heartbeat_2021,N
82,Lucia,Laura,Heartbeat-Evoked Cortical Potential during Sleep and Interoceptive Sensitivity: A Matter of Hypnotizability,N,billeci_heartbeat-evoked_2021,N
83,Diego,Catherine,Neural Responses to Heartbeats Detect Residual Signs of Consciousness during Resting State in Postcomatose Patients,N,candia-rivera_neural_2021,N
84,Fabian,Lucas,Behavioral and neurophysiological signatures of interoceptive enhancements following vagus nerve stimulation,N,richter_behavioral_2021,N
85,Marius,Katja,Heartbeat evoked potentials in patients with post-traumatic stress disorder: an unaltered neurobiological regulation system?,N,schmitz_heartbeat_2021,N
86,Jennifer,Jane,Weaker implicit interoception is associated with more negative body image: Evidence from gastric-alpha phase amplitude coupling and the heartbeat evoked potential,N,todd_weaker_2021,N
87,Charles,Francois,The heartbeat evoked potential does not support strong interoceptive sensibility in trait mindfulness,N,verdonk_heartbeat_2021,N
88,Deniz,Arno,Attenuation of the Heartbeat-Evoked Potential in Patients With Atrial Fibrillation,N,kumral_attenuation_2022,N
89,Eline,Antonio,Dynamic coupling between the central and autonomic cardiac nervous systems in patients with refractory epilepsy: A pilot study,N,melo_dynamic_2022,N
90,Alejandro,Enrica,Modulation of the heartbeat evoked cortical potential by hypnotizability and hypnosis,N,callara_modulation_2023,N
91,Diego,Calixto,Multidimensional assessment of heartbeat‐evoked responses in disorders of consciousness,N,candiarivera_multidimensional_2023,N
92,Diego,Calixto,Reduced Heartbeat-Evoked Responses in a Near-Death Case Report,N,candia-rivera_reduced_2023,N
93,Tahnee,Catherine,Whose emotion is it? Perspective matters to understand brain-body interactions in emotions,N,engelen_whose_2023,N
94,Yuto,Satoshi,Modulation of heartbeat-evoked potential and cardiac cycle effect by auditory stimuli,N,tanaka_modulation_2023,N
95,Ayham,Jacobo,Resting-State EEG Signature of Early Consciousness Recovery in Comatose Patients with Traumatic Brain Injury,N,alkhachroum_resting-state_2024,N
96,Susanne,Cristina,Cardiac interoception in Anorexia Nervosa: A resting‐state heartbeat‐evoked potential study,N,cambi_cardiac_2024,N
97,Vera,Stoyan,Heartbeat evoked potentials and autonomic arousal during dissociative seizures: insights from electrophysiology and neuroimaging,N,flasbeck_heartbeat_2024,N
98,Gioia,Enrica,Interoception as a function of hypnotizability during rest and a heartbeat counting task,N,giusti_interoception_2024,N
99,Niovi,Bigna,Heartbeat-evoked potentials following voluntary hyperventilation in epilepsy patients: respiratory influences on cardiac interoception,N,stoupi_heartbeat-evoked_2024,N
100,Charles,Sahib,Heartbeat-evoked neural response abnormalities in generalized anxiety disorder during peripheral adrenergic stimulation,N,verdonk_heartbeat-evoked_2024,N
101,Andrea,Francesca,Attention to cardiac sensations enhances the heartbeat-evoked potential during exhalation,N,zaccaro_attention_2024,N
102,Mariana,Catherine,Neural responses to heartbeats distinguish self from other during imagination,N,babo-rebelo_neural_2019,N
103,Leah,Damian,Skipping a Beat: Heartbeat-Evoked Potentials Reflect Predictions during Interoceptive-Exteroceptive Integration,N,banellis_skipping_2020,N
104,Agustina,Agustin,Allostatic-Interoceptive Overload in Frontotemporal Dementia,N,birba_allostatic-interoceptive_2022,N
105,Anne,Catherine,Does stroke volume influence heartbeat evoked responses?,N,buot_does_2021,N
106,Alethia,Agustin,Multimodal neurocognitive markers of interoceptive tuning in smoked cocaine,N,de_la_fuente_multimodal_2019,N
107,Hirokata,Satoshi,Association between interoception and empathy: Evidence from heartbeat-evoked brain potential,N,fukushima_association_2011,N
108,Indira,Agustin,Feeling learning from and being aware of inner states: interoceptive dimensions in neurodegeneration and stroke,N,garcia-cordero_feeling_nodate,N
109,Antje,Simone,Affective interoceptive inference: Evidence from heart‐beat evoked brain potentials,N,gentsch_affective_2019,N
110,Bertrand,Sarah,Aberrant brain–heart coupling is associated with the severity of post cardiac arrest brain injury,N,hermann_aberrant_2024,N
111,Rollin,Raymond,Electrophysiological Evidence of Intuition: Part 2. A System-Wide Process?,N,mccraty_electrophysiological_2004,N
112,SiriMaria,Andre,Reduced concentration performance and heartbeat-evoked potential in individuals with a history of a SARS-CoV-2 infection,N,kamp_reduced_2023,N
113,Edward,Rolf,Individual Differences in Cortical Evoked Potentials as a Function of Heartbeat Detection Ability,N,katkin_individual_1991,N
114,Yutaka,Masato,Alterations of Heartbeat Evoked Magnetic Fields Induced by Sounds of Disgust,N,kato_alterations_2020,N
115,Akihiro,Yoshihiro,Aberrant heartbeat-evoked potential in schizophrenia,N,koreki_aberrant_2024,N
116,Hongyun,Weidong,Enhanced external counterpulsation modulates the heartbeat evoked potential,N,liu_enhanced_2023,N
117,Sandra,Olga,Interoception is associated with heartbeat-evoked brain potentials (HEPs) in adolescents,N,mai_interoception_2018,N
118,Umair,Muhammad,Modulation of Heart and Brain Function by Surah Al-Rehman Recitation Among Distressed Diabetic Patients in Pakistan,N,majeed_modulation_2022,N
119,Amanda,Simone,I feel what I do: Relating interoceptive processes and reward-related behavior,N,marshall_i_2019,N
120,Tasha,Kristl,Auricular transcutaneous vagus nerve stimulation modulates the heart-evoked potential,N,poppa_auricular_2022,N
121,Paula,Lucas,Altered neural signatures of interoception in multiple sclerosis,N,salamone_altered_2018,N
122,Andre,Yvan,Late heartbeat-evoked potentials are associated with survival after cardiac arrest,N,schulz_late_2018,N
123,Alejandra,Manos,Heartfelt Self: Cardio-Visual Integration Affects Self-Face Recognition and Interoceptive Cortical Processing,N,sel_heartfelt_2016,N
124,Peter,Pandelis,Cortical monitoring of cardiac activity during rapid eye movement sleep: the heartbeat evoked potential in phasic and tonic rapid-eye-movement microstates,N,simor_cortical_2021,N
125,Marco,Olaf,Behavioral and neurophysiological evidence for altered interoceptive bodily processing in chronic pain,N,solca_behavioral_2020,N
126,Andrea,Francesca,Brain-heart interactions are modulated across the respiratory cycle via interoceptive attention,N,zaccaro_brain-heart_2022,N
127,Menghan,Shuxia,Intranasal Oxytocin Improves Interoceptive Accuracy and Heartbeat-Evoked Potentials During a Cardiac Interoceptive Task,N,zhou_intranasal_2024,N
128,Lauren,Martijn,Heartbeat-Evoked Potential in Major Depressive Disorder: A Biomarker for Differential Treatment Prediction between Venlafaxine and rTMS?,N,zwienenberg_heartbeat-evoked_2023,N
129,Agustina,Agustin,Heart-brain interactions during social and cognitive stress in hypertensive disease: A multidimensional approach,N,legaz_heart-brain_2022,N
130,Rainer,Rolf,Enhancement of heartbeat-related brain potentials through cardiac awareness training,N,schandry_enhancement_1990,N
131,Rainer,Pedro,Event-related brain potentials and the processing of cardiac activity,N,schandry_event-related_1996,N
132,Samia,Mahinda,Changes in the heartbeat-evoked potential are associated with functional seizures,N,elkommos_changes_2023,N
133,Gerhard,Friedrich,Topography and morphology of heart action-related EEG potentials,N,dirlich_topography_1998,N
